ADM2_NA,ADM3_NA,uniq_id2,Climate_vul,Local_threats,bi_class
Bua,Bua,Aileya Creek_Bua,6.2,4.083837287136363,3-3
Ba,Ba,Ba_Ba,5.9,4.408234063497583,3-2
Ba,Magodro,Ba_Magodro,4.7,3.025918289468653,2-1
Ba,Nawaka,Ba_Nawaka,5.5,2.303125844837912,2-1
Ba,Tavua,Ba_Tavua,5.8,2.81724535897789,2-2
Ba,Vuda,Ba_Vuda,6.3,4.113889758972379,3-3
Ra,Nalawa,Barotu_Nalawa,5.3,2.159195444537379,1-1
Ra,Saivou,Barotu_Saivou,5.2,2.665096251090402,2-1
Bua,Vuya,Batiri_Vuya,5.8,1.924979295695917,1-2
Bua,Wainunu,Batiri_Wainunu,5.7,2.598840118591176,2-1
Macuata,Dogotuki,Bourewa River_Dogotuki,5.1,1.441520072148741,1-1
Macuata,Labasa,Bucaisau River_Labasa,5.8,3.814389178476985,3-2
Macuata,Labasa,Bucalevu_Labasa,5.8,3.597188704575448,3-2
Macuata,Sasa,Codreudreu_Sasa,5.3,2.761963443408916,2-1
Bua,Bua,Dama River_Bua,6.2,3.619890103849481,3-3
Bua,Vuya,Dama River_Vuya,5.8,2.417533131335485,2-2
Bua,Wainunu,Dama River_Wainunu,5.7,1.347079048090601,1-1
Ra,Nakorotubu,Dawasamu River_Nakorotubu,6.2,1.336198010464743,1-3
Ra,Rakiraki,Drauniivi_Rakiraki,5.7,3.063904591627524,2-1
Bua,Bua,Draunivuga_Bua,6.2,3.075257854602711,2-3
Macuata,Macuata,Draunivuga_Macuata,6.1,3.5222684694043,3-3
Macuata,Labasa,Dreketi River_Labasa,5.8,2.512815219850355,2-2
Macuata,Macuata,Dreketi River_Macuata,6.1,3.725301448322748,3-3
Macuata,Sasa,Dreketi River_Sasa,5.3,3.118515846382873,2-1
Ra,Rakiraki,Ellington_Rakiraki,5.7,3.603215494830447,3-1
Ra,Saivou,Ellington_Saivou,5.2,2.737022951673168,2-1
Bua,Vuya,Kilaka_Vuya,5.8,1.458944807827923,1-2
Bua,Wainunu,Kilaka_Wainunu,5.7,1.791446162631829,1-1
Bua,Wainunu,Korolevu River_Wainunu,5.7,1.34639335212321,1-1
Macuata,Labasa,Labasa River_Labasa,5.8,4.266432453773274,3-2
Macuata,Dogotuki,Lagalaga River_Dogotuki,5.1,2.024809581974639,1-1
Macuata,Labasa,Lagalaga River_Labasa,5.8,4.534066488295817,3-2
Macuata,Dogotuki,Lakeba_Dogotuki,5.1,1.736873236645223,1-1
Ba,Vuda,Lawaki_Vuda,6.3,4.541638690288106,3-3
Bua,Bua,Luvuluvu_Bua,6.2,3.529310610921298,3-3
Bua,Vuya,Luvuluvu_Vuya,5.8,2.668813396186094,2-2
Ra,Rakiraki,Malake_Rakiraki,5.7,2.463481130856131,2-1
Macuata,Labasa,Malau_Labasa,5.8,4.419774980995701,3-2
Macuata,Macuata,Malau_Macuata,6.1,3.288974489861871,2-3
Ba,Nadi,Marika Creek_Nadi,5.7,4.307233332700758,3-1
Ba,Vuda,Marika Creek_Vuda,6.3,4.777276014355459,3-3
Ba,Vuda,Musuniwai Creek_Vuda,6.3,4.946181746903427,3-3
Bua,Vuya,Nabau_Vuya,5.8,2.005570129360069,1-2
Bua,Wainunu,Nabau_Wainunu,5.7,2.643274927677613,2-1
Macuata,Macuata,Nabouono_Macuata,6.1,3.713352438028816,3-3
Macuata,Dogotuki,Nabubou_Dogotuki,5.1,1.616757009619015,1-1
Macuata,Dogotuki,Nadawa Bay_Dogotuki,5.1,1.821510710057105,1-1
Ba,Magodro,Nadi_Magodro,4.7,2.250672094481684,2-1
Ba,Nadi,Nadi_Nadi,5.7,4.532994408618324,3-1
Ba,Nawaka,Nadi_Nawaka,5.5,2.927597407896139,2-1
Ba,Vuda,Nadi_Vuda,6.3,5.37109811764396,3-3
Bua,Vuya,Nakabuta_Vuya,5.8,1.738288635893571,1-2
Bua,Wainunu,Nakabuta_Wainunu,5.7,2.912544480228044,2-1
Bua,Bua,Nakalavo_Bua,6.2,4.011853448693866,3-3
Ba,Ba,Nakavika_Ba,5.9,4.93573290693817,3-2
Ba,Vuda,Nakavika_Vuda,6.3,4.522368540487179,3-3
Bua,Wainunu,Nakawaka River_Wainunu,5.7,1.655628953939342,1-1
Macuata,Dogotuki,Nakura River_Dogotuki,5.1,1.064533457591267,1-1
Bua,Bua,Nalomate River_Bua,6.2,2.39990107929163,2-3
Bua,Vuya,Nalomate River_Vuya,5.8,1.47630099433637,1-2
Bua,Wainunu,Nalomate River_Wainunu,5.7,1.661243941224947,1-1
Ra,Nakorotubu,Namarai_Nakorotubu,6.2,1.66284470381118,1-3
Ra,Nakorotubu,Naqele_Nakorotubu,6.2,1.42164113848786,1-3
Macuata,Dogotuki,Narara_Dogotuki,5.1,2.322372593579052,2-1
Bua,Wainunu,Nasavu_Wainunu,5.7,2.403987017707457,2-1
Macuata,Dogotuki,Nasavu River_Dogotuki,5.1,1.948426300443284,1-1
Macuata,Labasa,Nasavu River_Labasa,5.8,3.579246813140517,3-2
Macuata,Labasa,Nasekawa River_Labasa,5.8,2.705394781993281,2-2
Macuata,Sasa,Nasekawa River_Sasa,5.3,2.872720559121148,2-1
Ra,Saivou,Nasililivatu Creek_Saivou,5.2,1.732768580673377,1-1
Ra,Nakorotubu,Nasinu_Nakorotubu,6.2,1.863728773732411,1-3
Macuata,Dogotuki,Nasinu_Dogotuki,5.1,1.632712948835013,1-1
Ba,Ba,Nasivi River_Ba,5.9,5.007340389436141,3-2
Ba,Tavua,Nasivi River_Tavua,5.8,3.967768832998476,3-2
Ra,Rakiraki,Nasivi River_Rakiraki,5.7,2.589773102840012,2-1
Ba,Ba,Natunuku_Ba,5.9,4.779985996109671,3-2
Ba,Tavua,Natunuku_Tavua,5.8,3.689574923956546,3-2
Macuata,Sasa,Natuvu_Sasa,5.3,1.872414773987397,1-1
Ra,Nakorotubu,Navuniivi_Nakorotubu,6.2,1.236676472919911,1-3
Ba,Nadi,Nawai Creek_Nadi,5.7,5.111235646761004,3-1
Ba,Nawaka,Nawai Creek_Nawaka,5.5,3.637222881486166,3-1
Bua,Wainunu,Nawaido_Wainunu,5.7,2.168640706467626,1-1
Ra,Rakiraki,Penang River_Rakiraki,5.7,3.7425019562911652,3-1
Ra,Saivou,Penang River_Saivou,5.2,3.004010615702927,2-1
Macuata,Labasa,Qaloyago River_Labasa,5.8,4.338716004458313,3-2
Macuata,Sasa,Qaloyago River_Sasa,5.3,4.673366279103235,3-1
