"ADM2_NA.x","Ctchm_1","ADM3_NA","uniq_id2","THEMES","Th","Th_A","Tot","Tot_A"
"Bua","Aileya Creek","Bua","Aileya Creek_Bua",6.2,5.21619098947514,4.58113297154397,5.70809549473757,5.39056648577198
"Ba","Ba","Ba","Ba_Ba",5.9,6.63388086627622,4.30634941035903,6.26694043313811,5.10317470517951
"Ba","Ba","Magodro","Ba_Magodro",4.7,5.92620813611701,2.58954058457016,5.31310406805851,3.64477029228508
"Ba","Ba","Nawaka","Ba_Nawaka",5.5,0.930044396286311,1.65894338259331,3.21502219814316,3.57947169129665
"Ba","Ba","Tavua","Ba_Tavua",5.8,5.07455216886599,2.72194513607993,5.437276084433,4.26097256803997
"Ba","Ba","Vuda","Ba_Vuda",6.3,2.36656449380018,3.89396038129223,4.33328224690009,5.09698019064612
"Nadroga_Navosa","Ba","Navosa","Ba_Navosa",5.6,3.24433796449535,2.58319624775117,4.42216898224767,4.09159812387559
"Ra","Barotu","Nalawa","Barotu_Nalawa",5.3,0.415382594351675,2.31196720417758,2.85769129717584,3.80598360208879
"Ra","Barotu","Saivou","Barotu_Saivou",5.2,1.97713916313299,2.47034797954386,3.58856958156649,3.83517398977193
"Bua","Batiri","Vuya","Batiri_Vuya",5.8,1.25443751138592,2.34052194869777,3.52721875569296,4.07026097434888
"Bua","Batiri","Wainunu","Batiri_Wainunu",5.7,2.17619072522561,2.8665880604949,3.93809536261281,4.28329403024745
"Rewa","Beqa Island","Beqa","Beqa Island_Beqa",5.4,0.765588317617572,1.83126199186417,3.08279415880879,3.61563099593209
"Macuata","Bourewa River","Dogotuki","Bourewa River_Dogotuki",5.1,1.60138348461196,1.74278419155841,3.35069174230598,3.42139209577921
"Cakaudrove","Buca River","Cakaudrove","Buca River_Cakaudrove",6,1.14001806683825,0.820015200085023,3.57000903341913,3.41000760004251
"Cakaudrove","Buca River","Tunuloa","Buca River_Tunuloa",6,1.66259435900714,1.06190055919764,3.83129717950357,3.53095027959882
"Cakaudrove","Bucaisau River","Vaturova","Bucaisau River_Vaturova",5.4,3.58068394013568,2.20488893033829,4.49034197006784,3.80244446516915
"Macuata","Bucaisau River","Labasa","Bucaisau River_Labasa",5.8,6.14607444261004,4.49799591213264,5.97303722130502,5.14899795606632
"Macuata","Bucalevu","Labasa","Bucalevu_Labasa",5.8,3.53832232203846,4.3501815275342,4.66916116101923,5.0750907637671
"Lomaiviti","Bureta River","Ovalau","Bureta River_Ovalau",5.8,0.411784836380975,1.25921623550022,3.10589241819049,3.52960811775011
"Cakaudrove","Codreudreu","Wailevu","Codreudreu_Wailevu",5.6,3.04279623082892,3.33926985208745,4.32139811541446,4.46963492604372
"Macuata","Codreudreu","Sasa","Codreudreu_Sasa",5.3,1.55146761447652,3.23216956614883,3.42573380723826,4.26608478307441
