"ADM2_NA","Ctchm_1","ADM3_NA","uniq_id2","THEMES","n_ag_Ar","n_agc_A","n_df_A","n_f_Ar","n_ls_Ar","n_liv_Ar","n_mn_Ar","n_tN_Ar","n_sed_Ar","n_Up_A","n_fsh","n_ma_avg_A","Th","Th_A","Tot","Tot_A"
"Bua","Aileya Creek","Bua","Aileya Creek_Bua",6.2,7.77894640235929,0.800466918989143,2.7868285488521,5.82439760591688,0,2.18706054510811,9.95270767727405,0.530182588962739,3.39323776965841,0,5.96933933489668,9.78288005361895,4.23439995866203,4.08383728713636,5.21719997933101,5.14191864356818
"Ba","Ba","Ba","Ba_Ba",5.9,7.56175356030062,10,3.28055473623997,0.568369150137436,0,10,1.44898111067852,5.88094929457411,5.28020027070051,4.25813868504261,4.61986195429721,0,6.61714881741158,4.40823406349758,6.25857440870579,5.15411703174879
"Ba","Ba","Magodro","Ba_Magodro",4.7,5.87259832861543,10,1.34511851989162,1.79874644337679,0.65998805946657,1.04685348367206,4.26669018379385,0.50038480220945,4.76880307366076,0,NA,NA,6.87027070908365,3.02591828946865,5.78513535454182,3.86295914473433
"Ba","Ba","Nawaka","Ba_Nawaka",5.5,0,10,0.425885327460732,10,0,1.45876203140154,0,0,0.267109187360866,0.879501902155979,NA,NA,1.26498855096555,2.30312584483791,3.38249427548278,3.90156292241896
"Ba","Ba","Tavua","Ba_Tavua",5.8,7.00796148632469,10,1.22164459379791,1.06815692298023,0.785569510957367,2.63449939534866,0.223611394449887,0.178772161737673,6.60593942311984,0.846438636053693,3.20714757718486,0.0272032057798695,5.08233310566146,2.81724535897789,5.44116655283073,4.30862267948894
"Ba","Ba","Vuda","Ba_Vuda",6.3,1.92287713844843,10,10,0,0,10,0,0,4.78666012700869,10,2.65713984221142,0,2.54606080239908,4.11388975897238,4.42303040119954,5.20694487948619
"Nadroga_Navosa","Ba","Navosa","Ba_Navosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ra","Barotu","Nalawa","Barotu_Nalawa",5.3,9.38397839710614,5.64834127661795,2.66129466812392,0,0,0,0,0,5.81932905282032,0,2.39740193978022,0,0.304018858944551,2.15919544453738,2.80200942947228,3.72959772226869
"Ra","Barotu","Saivou","Barotu_Saivou",5.2,7.05967516493354,5.64834127661795,0.766729835498981,0.167921282413088,10,2.76888599103494,0,1.53776715281753,2.1103341675362,0,1.9215001422326,0,1.76209686653992,2.6650962510904,3.48104843326996,3.9325481255452
"Bua","Batiri","Vuya","Batiri_Vuya",5.8,0.0883104329867555,0.800466918989143,4.78512175647046,10,0,2.2664008789235,0,0,1.30969344119355,0.163188737762868,1.99758335519723,1.6889860268275,0.378556334594412,1.92497929569592,3.08927816729721,3.86248964784796
"Bua","Batiri","Wainunu","Batiri_Wainunu",5.7,4.26266070951949,0.800466918989143,7.14447290312037,0.0388037043019719,8.47862633484907,0,0,1.20571219841448,0.421831122660035,0,4.60867319863064,4.22483433260892,1.35282194026343,2.59884011859118,3.52641097013172,4.14942005929559
"Rewa","Beqa Island","Beqa","Beqa Island_Beqa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macuata","Bourewa River","Dogotuki","Bourewa River_Dogotuki",5.1,1.32022819539312,0,1.13240157530596,3.89856895847547,0,0.304455680582909,0,0.0924652119979843,0.149305428477926,0,10,0.400815815551518,1.27956076389034,1.44152007214874,3.18978038194517,3.27076003607437
"Cakaudrove","Buca River","Cakaudrove","Buca River_Cakaudrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cakaudrove","Buca River","Tunuloa","Buca River_Tunuloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cakaudrove","Bucaisau River","Vaturova","Bucaisau River_Vaturova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macuata","Bucaisau River","Labasa","Bucaisau River_Labasa",5.8,6.96190862365334,0,0.871004473322146,0.72534631585289,0,7.78638401276887,8.36534818479917,1.08869289655222,2.8287975721723,3.08376940365086,9.96138700283971,4.10003165611231,4.54320175191481,3.81438917847698,5.1716008759574,4.80719458923849
"Macuata","Bucalevu","Labasa","Bucalevu_Labasa",5.8,10,0,0.145420506446598,0.161530755084279,0,7.78638401276887,0.451483402209561,1.33013387045277,6.14612384534042,3.08376940365086,9.96138700283971,4.10003165611231,2.56253080001835,3.59718870457545,4.18126540000918,4.69859435228772
"Lomaiviti","Bureta River","Ovalau","Bureta River_Ovalau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cakaudrove","Codreudreu","Wailevu","Codreudreu_Wailevu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macuata","Codreudreu","Sasa","Codreudreu_Sasa",5.3,0.000963747859388253,0,10,0,0,1.32874726389997,0,0,5.78307402012096,0,9.39581244062077,6.63496384840591,1.0269189552225,2.76196344340892,3.16345947761125,4.03098172170446
"Cakaudrove","Dama","Tunuloa","Dama_Tunuloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bua","Dama River","Bua","Dama River_Bua",6.2,0.26684105333262,0.800466918989143,10,4.85489724737278,0,2.18706054510811,9.24685926675443,0,0.330336826121054,0,5.96933933489668,9.78288005361895,1.60080364204727,3.61989010384948,3.90040182102363,4.90994505192474
"Bua","Dama River","Vuya","Dama River_Vuya",5.8,2.71612187045292,0.800466918989143,7.74208044536713,3.22760171062457,0,2.2664008789235,6.60028886573714,0.919942153255312,0.88773661288851,0.163188737762868,1.99758335519723,1.6889860268275,2.85830778016664,2.41753313133549,4.32915389008332,4.10876656566774
"Bua","Dama River","Wainunu","Dama River_Wainunu",5.7,1.15901078340011,0.800466918989143,5.08156299958848,0.00703389005616702,0,0,0,0.0364060788225815,0.246960374991169,0,4.60867319863064,4.22483433260892,0.658662755508132,1.3470790480906,3.17933137775407,3.5235395240453
